date,week,year,month,day,volume,close,vwap,trade_count
2020-06-30,27,2020,June,Tuesday,17330908,1079.81,1062.478065,373181
2020-07-01,27,2020,July,Wednesday,13483197,1119.63,1117.217245,331232
2020-07-02,27,2020,July,Thursday,17493562,1208.66,1207.480814,443897
2020-07-06,28,2020,July,Monday,20831859,1371.58,1323.883544,595341
2020-07-07,28,2020,July,Tuesday,21674275,1389.86,1390.356862,695479
2020-07-08,28,2020,July,Wednesday,16480438,1365.88,1375.654029,483790
2020-07-09,28,2020,July,Thursday,11870636,1394.28,1382.649018,350516
2020-07-10,28,2020,July,Friday,23431316,1544.65,1469.861811,649007
2020-07-13,29,2020,July,Monday,39295632,1497.06,1662.404678,1412139
2020-07-14,29,2020,July,Tuesday,23663345,1516.8,1519.729601,796622
2020-07-15,29,2020,July,Wednesday,16522449,1546.01,1506.194663,542593
2020-07-16,29,2020,July,Thursday,14464531,1500.64,1498.012912,432802
2020-07-17,29,2020,July,Friday,9429932,1500.84,1507.740597,279212
2020-07-20,30,2020,July,Monday,17295610,1643.0,1579.363745,583951
2020-07-21,30,2020,July,Tuesday,16373071,1568.36,1612.365384,567215
2020-07-22,30,2020,July,Wednesday,14302174,1592.33,1606.213915,559795
2020-07-23,30,2020,July,Thursday,24527042,1513.07,1568.038547,872882
2020-07-24,30,2020,July,Friday,19538569,1417.0,1422.882775,656702
2020-07-27,31,2020,July,Monday,16391818,1539.6,1479.675506,497220
2020-07-28,31,2020,July,Tuesday,15936565,1476.49,1515.420843,464089
2020-07-29,31,2020,July,Wednesday,9525459,1499.11,1510.256133,287328
2020-07-30,31,2020,July,Thursday,7689546,1487.49,1492.483627,241685
2020-07-31,31,2020,July,Friday,12391772,1430.76,1455.681766,403053
2020-08-03,32,2020,August,Monday,8941592,1485.0,1484.740746,298394
2020-08-04,32,2020,August,Tuesday,8502056,1487.0,1488.364966,259291
2020-08-05,32,2020,August,Wednesday,5054464,1485.02,1485.014821,178471
2020-08-06,32,2020,August,Thursday,6094409,1489.58,1493.928194,203244
2020-08-07,32,2020,August,Friday,8997660,1452.71,1452.675469,336745
2020-08-10,33,2020,August,Monday,7666069,1418.57,1419.78472,301167
2020-08-11,33,2020,August,Tuesday,8741122,1374.39,1403.695469,359162
2020-08-12,33,2020,August,Wednesday,22174037,1554.76,1517.021827,805729
2020-08-13,33,2020,August,Thursday,20595773,1621.0,1620.075518,710149
2020-08-14,33,2020,August,Friday,12712319,1650.71,1648.012743,438273
2020-08-17,34,2020,August,Monday,20489820,1835.64,1776.995834,759257
2020-08-18,34,2020,August,Tuesday,16676444,1887.09,1891.543409,657452
2020-08-19,34,2020,August,Wednesday,12355864,1878.53,1885.579858,485987
2020-08-20,34,2020,August,Thursday,20733252,2001.83,1970.72002,776244
2020-08-21,34,2020,August,Friday,21650393,2049.98,2064.583159,802273
2020-08-24,35,2020,August,Monday,20241846,2014.2,2025.903528,853715
2020-08-25,35,2020,August,Tuesday,10854445,2023.34,1998.876798,431472
2020-08-26,35,2020,August,Wednesday,14397837,2153.17,2121.708052,579504
2020-08-27,35,2020,August,Thursday,23829801,2238.75,2224.744562,919220
2020-08-28,35,2020,August,Friday,20238341,2213.4,2250.502911,866486
2020-08-31,36,2020,August,Monday,120281737,498.32,478.401339,2811228
2020-09-01,36,2020,September,Tuesday,91700432,475.05,486.750104,2184960
2020-09-02,36,2020,September,Wednesday,97734366,447.37,443.422642,2204980
2020-09-03,36,2020,September,Thursday,88909440,407.0,412.316838,1836031
2020-09-04,36,2020,September,Friday,110079661,418.32,402.554246,2110788
2020-09-08,37,2020,September,Tuesday,117108871,330.21,347.989455,2271277
2020-09-09,37,2020,September,Wednesday,81069178,366.28,355.662846,1435186
2020-09-10,37,2020,September,Thursday,85844784,371.34,381.96206,1411328
2020-09-11,37,2020,September,Friday,61097968,372.72,370.322317,900609
2020-09-14,38,2020,September,Monday,83839293,419.62,401.224733,1327706
2020-09-15,38,2020,September,Tuesday,98257705,449.76,445.425831,1624948
2020-09-16,38,2020,September,Wednesday,73518108,441.76,446.660183,1111986
2020-09-17,38,2020,September,Thursday,77573974,423.43,425.221955,1187828
2020-09-18,38,2020,September,Friday,89532487,442.15,441.958169,1236144
2020-09-21,39,2020,September,Monday,110557221,449.39,439.774444,1798887
2020-09-22,39,2020,September,Tuesday,80305487,424.23,426.150056,1406583
2020-09-23,39,2020,September,Wednesday,96505943,380.36,391.644096,1813290
2020-09-24,39,2020,September,Thursday,97369802,387.79,383.266964,1444242
2020-09-25,39,2020,September,Friday,67981443,407.34,402.624069,1010515
2020-09-28,40,2020,September,Monday,50491312,421.2,420.634644,861907
2020-09-29,40,2020,September,Tuesday,51087357,419.07,420.719621,832460
2020-09-30,40,2020,September,Wednesday,49332194,429.01,428.841614,805611
2020-10-01,40,2020,October,Thursday,51703510,448.16,442.334044,871461
2020-10-02,40,2020,October,Friday,72170193,415.09,426.00836,1300580
2020-10-05,41,2020,October,Monday,45499582,425.68,425.437224,760367
2020-10-06,41,2020,October,Tuesday,49866227,413.98,417.965757,868262
2020-10-07,41,2020,October,Wednesday,43635328,425.3,423.242174,697611
